Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,22.272726,22.290909,21.363636,21.454544,20.436407,4951540
2021-01-05,21.218182,21.427273,20.936363,21.336363,20.338705,5197940
2021-01-06,21.381819,22.236362,21.263636,21.872726,20.849985,6777100
2021-01-07,21.836363,22.590908,21.709089,22.409090,21.361269,4871900
2021-01-08,22.572727,22.863636,22.000000,22.236362,21.196619,5830330
2021-01-11,21.927273,22.100000,21.663635,21.900000,20.875984,5685570
2021-01-12,21.945454,22.109091,21.745455,21.909090,20.884649,5781820
2021-01-13,21.890909,22.045454,21.263636,21.500000,20.494688,6186180
2021-01-14,21.618181,22.290909,21.509090,22.181818,21.144623,13157650
2021-01-15,21.945454,21.981817,21.363636,21.363636,20.364700,6566010
2021-01-18,21.563637,21.836363,21.290909,21.454544,20.451355,5330050
2021-01-19,21.581818,21.681818,20.818180,21.054544,20.070061,6094660
2021-01-20,21.145454,21.254545,20.636362,20.636362,19.671432,4372280
2021-01-21,20.681818,20.772726,20.200001,20.263636,19.316135,4043160
2021-01-22,19.945454,20.172728,19.781818,19.927273,18.995502,7567230
2021-01-26,19.900000,20.345453,19.436363,19.500000,18.588207,7133500
2021-01-27,19.445454,19.927273,19.236362,19.663635,18.744190,8297740
2021-01-28,19.645454,20.518181,19.609091,20.272726,19.324802,8600240
2021-01-29,20.000000,20.327272,19.572727,19.672728,18.752859,8303900
2021-02-01,20.027271,20.299999,19.890909,20.090908,19.151487,5875430
2021-02-02,20.490910,20.527271,19.836363,20.036364,19.114408,7562280
2021-02-03,20.181818,20.481817,20.036364,20.163635,19.235825,5078260
2021-02-04,20.909090,21.054544,20.518181,20.781818,19.825562,6594060
2021-02-05,20.890909,20.945454,20.472727,20.645454,19.695471,6233700
2021-02-08,20.572727,20.581818,20.109091,20.272726,19.339899,5083540
2021-02-09,20.027271,20.618181,19.918180,20.463636,19.522022,4975300
2021-02-10,20.254545,20.545454,20.036364,20.263636,19.331221,6383080
2021-02-11,20.390909,20.600000,20.181818,20.318180,19.383253,4728240
2021-02-12,20.227272,20.445454,20.081818,20.363636,19.426620,4236210
2021-02-17,20.172728,20.299999,19.845453,20.154545,19.227150,8727730
2021-02-18,20.054544,20.227272,19.672728,19.863636,18.966427,12848220
2021-02-19,19.918180,20.227272,19.736362,19.790909,18.896982,8800550
2021-02-22,19.227272,19.363636,18.663635,18.663635,17.820627,13233000
2021-02-23,18.936363,19.763636,18.900000,19.518181,18.636576,9228230
2021-02-24,19.590908,19.736362,19.209089,19.390909,18.515055,7175190
2021-02-25,19.272726,19.618181,18.818180,18.890909,18.037638,6536310
2021-02-26,19.063637,19.227272,18.527271,18.718182,17.872711,11139810
2021-03-01,18.827272,18.936363,18.063637,18.109091,17.291130,6937150
2021-03-02,17.754545,18.727272,17.363636,18.409090,17.592815,11666820
2021-03-03,18.318180,18.990910,17.963636,18.781818,17.949013,13062280
2021-03-04,18.890909,19.727272,18.827272,19.409090,18.548471,9726860
